samples	size	depth	collection_from	latitude	longitude
SRR12338585	>0.2	0.5	article	38.3	121.14
SRR12338586	>0.2	0.5	article	37.4	120.07
SRR15496671	3~0.2	0.5	article	30.43	122.58
SRR15496675	3~0.2	0.5	article	30.27	122.55
SRR15496681	3~0.2	0.5	article	30.72	122.57
SRR15496685	3~0.2	0.5	article	30.6	122.61
SRR15496689	3~0.2	0.5	article	30.07	122.37
SRR12824958	1.2~0.2	5	article	25.3397	122.4486
SRR12824959	1.2~0.2	5	article	25.502	121.9581
SRR12824960	1.2~0.2	5	article	25.669	121.5039
SRR12824961	1.2~0.2	5	article	25.8361	121.0332
SRR12824963	1.2~0.2	5	article	25.999	120.5633
SRR12824964	1.2~0.2	5	article	26.165	120.2534
SRR12824965	1.2~0.2	5	article	25.3397	122.4486
SRR12824966	1.2~0.2	5	article	25.502	121.9581
SRR12824967	1.2~0.2	5	article	25.669	121.5039
SRR12824968	1.2~0.2	5	article	25.8361	121.0332
SRR12824969	1.2~0.2	5	article	25.999	120.5633
SRR12824970	1.2~0.2	5	article	26.165	120.2534
SRR12824971	1.2~0.2	5	article	25.3397	122.4486
SRR12824972	1.2~0.2	5	article	25.502	121.9581
SRR12824973	1.2~0.2	5	article	25.999	120.5633
SRR12824974	1.2~0.2	5	article	25.669	121.5039
SRR12824975	1.2~0.2	5	article	25.8361	121.0332
SRR12824976	1.2~0.2	5	article	25.999	120.5633
SRR12824977	1.2~0.2	5	article	26.165	120.2534
SRR12824978	1.2~0.2	5	article	25.3397	122.4486
SRR12824979	1.2~0.2	5	article	25.502	121.9581
SRR12824980	1.2~0.2	5	article	25.669	121.5039
SRR12824981	1.2~0.2	5	article	25.8361	121.0332
SRR12824982	1.2~0.2	5	article	25.999	120.5633
SRR12824983	1.2~0.2	5	article	26.165	120.2534
SRR12824985	1.2~0.2	5	article	25.3397	122.4486
SRR12824986	1.2~0.2	5	article	25.502	121.9581
SRR12824987	1.2~0.2	5	article	25.669	121.5039
SRR12824988	1.2~0.2	5	article	25.8361	121.0332
SRR12824989	1.2~0.2	5	article	25.999	120.5633
SRR12824990	1.2~0.2	5	article	26.165	120.2534
SRR12824991	1.2~0.2	5	article	25.3397	122.4486
SRR12824992	1.2~0.2	5	article	25.502	121.9581
SRR12824993	1.2~0.2	5	article	25.669	121.5039
SRR12824994	1.2~0.2	5	article	25.8361	121.0332
SRR12824996	1.2~0.2	5	article	25.999	120.5633
SRR12824997	1.2~0.2	5	article	26.165	120.2534
SRR12824998	1.2~0.2	5	article	25.3397	122.4486
SRR12824999	1.2~0.2	5	article	25.502	121.9581
SRR12825000	1.2~0.2	5	article	25.669	121.5039
SRR12825001	1.2~0.2	5	article	25.8361	121.0332
SRR12825003	1.2~0.2	5	article	26.165	120.2534
SRR12825004	1.2~0.2	5	article	25.3397	122.4486
SRR12825005	1.2~0.2	5	article	25.502	121.9581
SRR12825007	1.2~0.2	5	article	25.669	121.5039
SRR12825008	1.2~0.2	5	article	25.8361	121.0332
SRR12825009	1.2~0.2	5	article	25.999	120.5633
SRR12825010	1.2~0.2	5	article	26.165	120.2534
SRR12825011	1.2~0.2	5	article	25.3397	122.4486
SRR12825012	1.2~0.2	5	article	25.502	121.9581
SRR12825013	1.2~0.2	5	article	25.669	121.5039
SRR12825014	1.2~0.2	5	article	25.8361	121.0332
SRR12825015	1.2~0.2	5	article	25.999	120.5633
SRR12825016	1.2~0.2	5	article	26.165	120.2534
SRR12825017	1.2~0.2	5	article	25.669	121.5039
SRR12825018	1.2~0.2	5	article	25.3397	122.4486
SRR12825019	1.2~0.2	5	article	25.502	121.9581
SRR12825020	1.2~0.2	5	article	25.669	121.5039
SRR12825021	1.2~0.2	5	article	25.8361	121.0332
SRR12825022	1.2~0.2	5	article	25.999	120.5633
SRR12825024	1.2~0.2	5	article	25.3397	122.4486
SRR12825025	1.2~0.2	5	article	25.502	121.9581
SRR12825026	1.2~0.2	5	article	25.669	121.5039
SRR12825027	1.2~0.2	5	article	25.8361	121.0332
SRR12825028	1.2~0.2	5	article	25.8361	121.0332
SRR12825029	1.2~0.2	5	article	25.999	120.5633
SRR12825031	1.2~0.2	5	article	25.3397	122.4486
SRR12825032	1.2~0.2	5	article	25.502	121.9581
SRR12825033	1.2~0.2	5	article	25.669	121.5039
SRR12825034	1.2~0.2	5	article	25.8361	121.0332
SRR12825035	1.2~0.2	5	article	25.999	120.5633
SRR12825036	1.2~0.2	5	article	26.165	120.2534
SRR13038370	1.2~0.2	5	article	25.2513	122.6788
SRR13038371	1.2~0.2	5	article	25.2513	122.6788
SRR13038372	1.2~0.2	5	article	25.2513	122.6788
SRR13038373	1.2~0.2	5	article	25.3397	122.4486
SRR13038374	1.2~0.2	5	article	25.502	121.9581
SRR13038375	1.2~0.2	5	article	25.669	121.5039
SRR13038377	1.2~0.2	5	article	25.999	120.5633
SRR13038378	1.2~0.2	5	article	25.2513	122.6788
SRR13038380	1.2~0.2	5	article	25.2513	122.6788
SRR5617426	1.2~0.2	3	article	25.33	122.44
SRR5617427	1.2~0.2	3	article	25.67	121.5
